id,agricultureStructureIndicator,asOfDate,basementEnclosureCrawlspaceType,policyCount,crsClassificationCode,dateOfLoss,elevatedBuildingIndicator,elevationCertificateIndicator,elevationDifference,baseFloodElevation,ratedFloodZone,houseWorship,locationOfContents,lowestAdjacentGrade,lowestFloorElevation,numberOfFloorsInTheInsuredBuilding,nonProfitIndicator,obstructionType,occupancyType,originalConstructionDate,originalNBDate,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,postFIRMConstructionIndicator,rateMethod,smallBusinessIndicatorBuilding,totalBuildingInsuranceCoverage,totalContentsInsuranceCoverage,yearOfLoss,primaryResidenceIndicator,buildingDamageAmount,buildingDeductibleCode,netBuildingPaymentAmount,buildingPropertyValue,causeOfDamage,condominiumCoverageTypeCode,contentsDamageAmount,contentsDeductibleCode,netContentsPaymentAmount,contentsPropertyValue,disasterAssistanceCoverageRequired,eventDesignationNumber,ficoNumber,floodCharacteristicsIndicator,floodWaterDuration,floodproofedIndicator,floodEvent,iccCoverage,netIccPaymentAmount,nfipRatedCommunityNumber,nfipCommunityNumberCurrent,nfipCommunityName,nonPaymentReasonContents,nonPaymentReasonBuilding,numberOfUnits,buildingReplacementCost,contentsReplacementCost,replacementCostBasis,stateOwnedIndicator,waterDepth,floodZoneCurrent,buildingDescriptionCode,rentalPropertyIndicator,state,reportedCity,reportedZipCode,countyCode,censusTract,censusBlockGroupFips,latitude,longitude
166eb26d-1103-4b12-b59d-449c9d944a6f,false,2025-07-01 00:00:00,2,1,,2010-03-13,false,,,,AE,false,,,,2,false,,1,1945-10-20,1999-02-04,16414.78,0.0,0.0,false,1,false,151500,6900,2010,false,17415,2,16414.78,99238,2,N,,2,0.0,,0,,251,,0,false,Nor'easter,30000,0.0,360497,,,20,,1,116750,,A,false,-5,,,false,NY,Currently Unavailable,10465,36005,36005013800,360050138001,40.8,-73.8
8df05ef8-3d60-4ad6-9b2c-7e93171d66c7,false,2025-07-01 00:00:00,1,1,,2021-09-01,false,1,,,X,false,2,,,1,false,,12,1942-01-01,2009-11-08,5992.28,0.0,0.0,false,RatingEngine,false,250000,100000,2021,true,7242,2,5992.28,398115,4,N,646,1,0.0,100000,0,NY0421,,,,false,Hurricane Ida,30000,0.0,360497,360497,"NEW YORK, CITY OF",01,,2,476437,100000,A,false,-7,X,1,false,NY,Currently Unavailable,10473,36005,36005001600,360050016004,40.8,-73.9
620455d6-0292-4fe3-84c9-e021bbdd27a3,false,2025-07-01 00:00:00,,1,,1992-12-11,false,,,,AE,false,,,,3,false,10,1,1960-07-01,1990-05-22,13323.22,6016.25,0.0,false,1,false,17700,11600,1992,true,13823,1,13323.22,14600,3,N,6516,1,6016.25,0,0,,568,,0,false,December Storm - Nor'easter,20000,0.0,360497,,,,,1,0,0,A,false,0,,,false,NY,Currently Unavailable,10465,36005,36005011800,360050118001,40.8,-73.8
767fd936-dbb7-477d-bbc6-10bd19045018,false,2025-07-01 00:00:00,,1,,1983-04-10,false,,,,,false,,,,3,false,10,3,1958-07-01,1979-02-07,,,,false,1,false,35000,0,1983,false,,0,0.0,,4,N,,,0.0,,0,,,,0,false,,,0.0,360497,,,,97,1,,,,false,0,,,false,NY,Currently Unavailable,10469,36005,36005035600,360050356002,40.9,-73.8
7ba25015-1caf-44f4-b853-4e37d8a03455,false,2025-07-01 00:00:00,2,1,,1996-10-19,false,1,,,VE,false,2,,,1,false,,12,1943-07-01,2022-09-01,1576.03,0.0,0.0,false,RatingEngine,false,177000,22000,1996,true,2076,2,1576.03,170000,4,N,,1,0.0,,0,,597,,0,false,Flooding,30000,0.0,360497,360497,"NEW YORK, CITY OF",,,2,0,,A,false,0,VE,1,false,NY,Currently Unavailable,10465,36005,36005013200,360050132003,40.8,-73.8
b8e7af2b-07cd-42df-b0d9-42813d7f4389,false,2025-07-01 00:00:00,,1,,1979-02-25,false,,,,,false,2,,,3,false,10,1,1492-10-12,1978-05-26,250.0,0.0,0.0,false,1,false,10000,3000,1979,false,450,,250.0,40000,4,N,,,0.0,,0,,,,0,false,,,0.0,360497,,,,,1,0,,R,false,1,,,false,NY,Currently Unavailable,10469,36005,36005035800,360050358005,40.9,-73.8
526fac8d-d41f-4228-b4a9-b2cfb3bf2cbc,false,2025-07-01 00:00:00,1,1,,2021-09-01,false,,,,VE,false,2,,,2,false,,11,1920-01-01,2017-10-09,13065.43,0.0,0.0,false,RatingEngine,false,250000,35000,2021,true,18065,5,13065.43,151704,2,N,0,5,0.0,0,,NY0421,,,,false,Hurricane Ida,30000,0.0,360497,360497,"NEW YORK, CITY OF",20,,1,168560,0,A,false,,VE,1,false,NY,Currently Unavailable,10473,36005,36005000400,360050004002,40.8,-73.9
53ed712d-35df-4dda-966d-69575749f95d,false,2025-07-01 00:00:00,1,1,,1992-12-11,false,,,,,false,,,,2,false,10,1,1974-12-31,1987-03-10,8800.0,3800.0,0.0,false,3,false,8800,3800,1992,false,9300,9,8800.0,72410,1,N,4300,9,3800.0,0,0,,568,,0,false,December Storm - Nor'easter,,0.0,360497,,,,,0,0,0,A,false,0,,,false,NY,Currently Unavailable,10465,36005,36005011800,360050118001,40.8,-73.8
06fe59f8-90da-4278-913c-cf65e1c9252e,false,2025-07-01 00:00:00,1,1,,1989-06-07,false,,,,X,false,,,,3,false,10,3,1974-12-31,1988-08-15,1427.83,0.0,0.0,false,1,false,29300,0,1989,false,2216,0,1427.83,29300,4,N,,0,0.0,,0,,,,0,false,,,0.0,360497,,,,,0,0,,A,false,0,,,false,NY,Currently Unavailable,10462,36005,36005022404,360050224043,40.9,-73.9
30c48bf6-390f-4b6a-b132-b99eb6844be3,false,2025-07-01 00:00:00,2,1,,2012-10-29,false,,,,A09,false,2,,,2,false,,1,1950-05-01,2007-01-26,,,,false,1,false,250000,25600,2012,true,,1,0.0,,4,N,,1,0.0,,0,,306,,0,false,Hurricane Sandy,30000,0.0,360497,,,20,20,1,,,A,false,0,,1,false,NY,Currently Unavailable,10473,36005,36005000200,360050002003,40.8,-73.9
